Title,URL,Content,Date,Word Count
Data Description and Collection,https://scholarslab.lib.virginia.edu/blog/data-description-and-collection/,"Crossposted toBrandon's blog.I’m realizing that if I don’t start combining things I will only ever blog about my class, so here I’m collecting notes on the last two weeks of “Data for the Rest of Us” on data description and collection into a single post. We got into the first real technical skills for the course as the students built out their understanding of the data production pipeline. The goal is for them to build datasets based around their own interests, and we took some real steps in that direction with these units.We had previously developed aworking definition of data, so we began our session on description by reviewing it briefly before quickly introducing metadata. We focused on its use: confusingly, metadata is often called data about data, but it’s more accurately thought of as data attached to other data that gives context, facilitates discovery, and enables analysis. We got to these topics by way of metadata in everyday life. We talked about the metadata categories used...",2025-02-10T00:00:00-05:00,1048
Poster Abstract and Code Camp,https://scholarslab.lib.virginia.edu/blog/poster-abstract-and-code-camp/,"It’s been a tad quiet on the blog front over the past couple weeks. Here is what the Praxis squad has been up to.It’s been a great week for collaborative writing. We put together a poster abstract forDH 2013that crystallized a lot of our thoughts onPrismand crowdsourcing thus far. Perhaps we will see some of our loyal readers there? The poster abstract that we put together discusses crowdsourcing as a continuum from more mechanical interaction to forms that maintain more of a sense of the autonomous individual. We concluded by conceiving of a few different types of interfaces for Prism and the ways in which they might affect the nature of the crowdsourcing process. Much of the abstract was put together with multiple people writing different parts of the document at the same time, which I thought was an interesting enactment of the sorts of questions and issues that we have been working through.It was great to see each person’s piece combined into the whole.Special shout-out toGwenfor t...",2012-11-14T10:09:01-05:00,532
Apply For The 2024-2025 Praxis Cohort,https://scholarslab.lib.virginia.edu/blog/apply-for-the-2024-2025-praxis-cohort/,"Applications are now open for Praxis Fellowships to be held during the 2024-2025 academic year. Further details below about this application cycle, which has applications due November 1st, 2023.Consider spending time with us next year!If you’re interested in learning more about the fellowship or have questions about anything you read below, please consider attending the information session for the 2024-2025 cohort -Monday, September 11th, 2023 from 11:00-12:00 on Zoom. Pleaseregisterto attend.ThePraxis Programis a unique and well-known training program in the international digital humanities, offered by the UVa Library’s Scholars’ Lab. This fellowship supports a team of University of Virginia PhD students each year as they explore various aspects of digital humanities together. Under the guidance of Scholars’ Lab faculty and staff, Praxis fellows conceive, develop, and share a range of digital humanities activities over the course of the year. Our fellowsblogabout their experiences and...",2023-08-08T00:00:00-04:00,1132
Hello World,https://scholarslab.lib.virginia.edu/blog/hello-world/,"For some time now I have led a double life as a musician and book lover. As a third year PhD in the English department at UVA, I work primarily on twentieth-century fiction in relation to music and sound. These interests drew me toPraxisin the first place: writing about sound is incredibly difficult in a print medium where the reader can’t hear what I describe. I am very excited to be a part of the Praxis team this year, where as a DH novitiate I hope to learn how technology can help make those two fields work together more easily. The Scholars’ Lab team seems happy to have us as well, welcoming the new team with open arms and inscrutable computer science jokes. Last year’s Praxis team reached out to us many months ago fromtheir charter:Preparations for future cohortsIn order to allow the next Praxis Program team to start work right away on a project, we will make suggestions for that project before our tenure is over.How nice to be thought of! But I think this excerpt shows how our si...",2012-09-13T06:17:28-04:00,486
Open Learning Together,https://scholarslab.lib.virginia.edu/blog/open-learning-together/,"Crossposted toBrandon's blog.The following is a short, internal lightning talk I gave to UVA Library staff as a part of the Library’s Open Access Week in fall 2024.Hello! My name is Brandon Walsh, and I’m Head of Student Programs in the Scholars’ Lab, one of the twin branches of the UVA Library’s Digital Humanities Center. I was asked to talk a bit about my work in open pedagogy as it intersects with digital humanities, a big baggy field in which we’re constantly confronting what we don’t know and helping others to do the same. From my earliest days working in DH, way back when I was a student myself in the Lab and in the Library, I was drawn to this pedagogical through line. The sheer importance of learning to it all. And this, in turn, has deeply informed how I approach Open with my students.Always learning. Always teaching.Together.My practice of open digital pedagogy is informed by three intertwining principles:Humanities students see themselves as imposters more often than not, pa...",2024-10-28T00:00:00-04:00,686
DH Is Teaching,https://scholarslab.lib.virginia.edu/blog/dh-is-teaching/,"Crossposted toBrandon's blog.DH is teaching.End of talk. Can you imagine? A whole talk that is less than five words long.That’s about the point when my cat bit me to wake me up. He’s been getting me up egregiously early lately, and I jotted down some notes about the dream as I waited for him to finish eating so I could go back to sleep.1I was giving a conference talk, and Jennifer Guiliano had introduced me by giving me a bag of onions.2There were shades of the time when a classmate told our Joyce professor he would be submitting a copy ofUlyssesfor the final exam.DH is teaching.What more need be said?I’ve often said the phrase around the Lab but never thought to write it down publicly. Perhaps I thought such a thing would make me sound too much like a true believer. Or that it was so obvious a statement as to render it meaningless. Or that I was not the first to say such a thing.3The past several years have seen increasing work on digital humanities pedagogy,4but this post is not mere...",2023-07-24T00:00:00-04:00,622
Workshop On Reading With Command Line,https://scholarslab.lib.virginia.edu/blog/workshop-on-reading-with-command-line/,"Crossposted tomy blog.Alison Booth and I are co-teaching a graduate course this semester on Digital Literary Studies. As a part of the course, we’re having a series of technical workshops - command line, Python, text analysis, encoding, and markup. The scheduling worked out such that these workshops wound up being on Wednesdays, with the discussions of critical theory on digital humanities and literary method mostly on Mondays. That’s all fine and good, but I worried that neatly dividing the class out in that way would create a divide between the one day of the week when the students were actively discussing the material in the course and the other when they were mostly in hands-on workshops. Rather than having a hacking day and a yacking day, I wanted to see what I could do to create an environment for hack-yacking. So when I taught the first workshop on command line, I wanted to try something slightly different from what I normally do by making more room for discussion. I wanted to b...",2019-02-27T06:39:13-05:00,1913
Call For Digital Humanities Fellows Applications: 2025-2026 Cohort,https://scholarslab.lib.virginia.edu/blog/call-for-digital-humanities-fellows-applications-2025-2026-cohort/,"Applications are now open for the 2025-2026 Digital Humanities Fellowship. Find More Details Below.The application deadline for fellowships to be held during the 2025-2026 academic year isFebruary 15th, 2025. More details on how to apply at the end of this page.If you’re interested in learning more about the fellowship or have questions about anything you read below, please consider attending the information session for the 2025-2026 cohort -January 15, 2025 from 1:00-2:00PM.Pleaseregisterto attend. You are, of course, encouraged to write for an individual meeting to discuss your application so that you can begin your application.The Digital Humanities Fellowship supports advanced doctoral students doing innovative work in the digital humanities at the University of Virginia. The Scholars’ Lab offers Grad Fellows advice and assistance with the creation and analysis of digital content, as well as consultation on intellectual property issues and best practices in digital scholarship and ...",2024-11-01T00:00:00-04:00,1046
Apply For Next Year’s Praxis Cohort,https://scholarslab.lib.virginia.edu/blog/apply-for-next-years-praxis-cohort/,"Applications are now open for the 2023-2024 Praxis Program cohort. Applications are due March 1st, 2023. Consider spending some time with us next year!If you’re interested in learning more about the fellowship or have questions about anything you read below, please consider attending the information session for the 2023-2024 cohort -Tuesday, January 31st, 2023 from 10:00-11:00 on Zoom. Pleaseregisterto attend.ThePraxis Programis a unique and well-known training program in the international digital humanities, offered by the UVa Library’s Scholars’ Lab. This fellowship supports a team of University of Virginia PhD students each year as they explore various aspects of digital humanities together. Under the guidance of Scholars’ Lab faculty and staff, Praxis fellows conceive, develop, and share a range of digital humanities projects and activities over the course of the year. Our fellowsblogabout their experiences and develop increased facility with project management, collaboration, and ...",2022-11-01T00:00:00-04:00,1209
Free Writing About Pedagogy,https://scholarslab.lib.virginia.edu/blog/free-writing-about-pedagogy/,"Crossposted toBrandon's blog.We’re in the thick of our unit on teaching and learning inPraxis, where students discuss a range of teaching topics including buttonology, minimalist pedagogy, and critical digital pedagogy. As outcomes for the conversation we ask the students to produce two things:a minimalist, speculative digital humanities workshop on a topic of interest to them as a teach-to-learn activitya teaching statement that might intersect with their new thinking on digital pedagogyThe context for the two assignments is thatall DH involves teaching at some level. Graduate students rarely receive adequate training in teaching, and they often teach under very specific departmental constraints. The two activities are meant to give them experience thinking about a range of teaching possibilities that they might not otherwise get to experience. I would wager further that most departments don’t offer much training in writingaboutteaching, either in formalized teaching statements or oth...",2023-10-31T00:00:00-04:00,952
