Month,Total Word Count
2012-09,816
2012-10,1759
2012-11,984
2012-12,1049
2013-02,675
2013-04,679
2013-05,1041
2014-05,576
2014-08,233
2014-09,968
2015-02,532
2015-03,1611
2015-09,2059
2015-12,1606
2016-05,2500
2017-03,4928
2017-05,306
2017-06,1719
2017-09,663
2017-12,841
2018-04,353
2018-09,3657
2018-10,713
2018-12,785
2019-01,2560
2019-02,1913
2019-03,1830
2019-04,1295
2019-05,2123
2019-06,1790
2019-07,2361
2019-08,529
2019-09,8353
2019-10,11092
2019-12,4911
2020-01,2536
2020-04,2608
2020-05,636
2020-08,1605
2020-09,377
2020-10,1187
2020-11,2033
2021-01,4706
2021-05,256
2021-06,516
2021-07,2733
2021-10,2128
2022-04,248
2022-11,2215
2023-03,365
2023-04,6087
2023-05,3733
2023-06,3231
2023-07,7169
2023-08,4806
2023-09,1132
2023-10,2541
2023-11,2325
2024-01,919
2024-03,126
2024-04,1306
2024-06,1209
2024-08,2712
2024-09,1023
2024-10,2872
2024-11,4672
2024-12,153
2025-01,4387
2025-02,5278
2025-03,4558
