Area Name,White,Black,Other Races
TRACT 1 ORLANDO CITY,1214,67,0
TRACT 2 ORLANDO CITY,4866,0,2
TRACT 3 ORLANDO CITY,3432,9,5
TRACT 4 ORLANDO CITY,241,4386,4
TRACT 5 ORLANDO CITY,9,5988,2
TRACT 6 ORLANDO CITY,1873,5026,3
TRACT 7 PT PINECASTLE DIV,2656,1,2
TRACT 8 ORLANDO CITY,6599,6,11
TRACT 9 ORLANDO CITY,2353,2,6
TRACT 10 ORLANDO CITY,4010,0,16
TRACT 11 PT ORLANDO DIV,3195,0,8
TRACT 12 PT ORLANDO DIV,4781,0,3
TRACT 13 PT ORLANDO DIV,5508,1,8
TRACT 14 PT ORLANDO DIV,3441,2,11
TRACT 15 PT ORLANDO DIV,3933,3,5
TRACT 16 PT WINDERMERE DIV,2660,4,0
TRACT 17 PT ORLANDO SOUTH DIV,3917,56,6
TRACT 18 PT ORLANDO DIV,2634,7766,4
TRACT 19 PT PINECASTLE DIV,12914,41,11
TRACT 20 PT KILARNEY-FAIRVIEW SHORES,4249,0,0
TRACT 21 ORLANDO CITY,6926,1,1
TRACT 22 PT ORLANDO DIV,3711,2,0
TRACT 23 ORLANDO CITY,3642,0,15
TRACT 24 PT APOPKA DIV,4414,52,24
TRACT 25 PT APOPKA DIV,3560,0,2
TRACT 26 PT PINECASTEL DIV,9552,28,7
TRACT 27 PINECASTLE DIV,6007,4,11
TRACT 28 PINECASTLE DIV,3476,2,1
TRACT 29 WINDERMERE DIV,5228,163,21
TRACT 30 OCOEE DIV,2233,56,2
TRACT 31 PINECASTLE DIV,4276,2,10
TRACT 32 PT KILARNEY-FAIRVIEW SHORES,2358,1,0
TRACT 33 KILARNEY-FAIRVIEW SHORES,12112,61,27
TRACT 34 WINTER PARK DIV,1644,3658,0
TRACT 35 WINTER PARK DIV,2867,33,0
TRACT 36 WINTER PARK DIV,3619,6,6
TRACT 37 WINTER PARK DIV,5350,4,4
TRACT 38 APOKA DIV,4985,6,18
TRACT 39 APOKA DIV,4679,1,7
TRACT 40 PT APOPKA DIV,4460,0,7
TRACT 41 ORLANDO S E DIV,2869,128,3
TRACT 42 TAFT DIV,3942,480,8
TRACT 43 TAFT DIV,6511,41,2
TRACT 44 WINDERMERE DIV,1876,1836,7
TRACT 45 WINTER GARDEN DIV,2219,7,1
TRACT 46 WINTER GARDEN DIV,2121,1161,4
TRACT 47 OCOEE DIV,2627,0,1
TRACT 48 WINTER GARDEN DIV,2550,1832,0
TRACT 49 TANGERINE ZELLWOOD DIV,2660,1366,0
TRACT 50 APOKA DIV,4130,50,2
TRACT 51 APOKA DIV,2500,1068,10
TRACT 52 APOKA DIV,2945,2225,19
TRACT 53 LOCKHART DIV,5201,0,12
TRACT 54 LAKE MAITLAND DIV,3120,1306,1
TRACT 55 LAKE MAITLAND DIV,2084,146,1
TRACT 56 EAST ORANGE DIV,3192,0,4
TRACT 57 EAST ORANGE DIV,3974,4,2
