Month,Total Word Count
2008-09,2054
2008-10,1004
2008-11,3289
2009-01,1564
2009-02,2481
2009-03,4662
2009-04,2962
2009-05,1037
2009-07,189
2009-09,31
2009-11,362
2009-12,921
2010-01,812
2010-02,3240
2010-03,345
2010-04,3263
2010-05,4336
2010-06,1098
2010-07,726
2010-08,666
2010-09,2074
2010-10,1168
2010-11,870
2010-12,675
2011-01,2165
2011-02,2636
2011-03,855
2011-04,1193
2011-05,761
2011-06,2415
2011-07,2178
2011-08,7517
2011-09,16712
2011-10,8916
2011-11,5598
2011-12,4176
2012-01,5227
2012-02,4426
2012-03,11282
2012-04,3253
2012-05,7808
2012-06,687
2012-07,3336
2012-08,5759
2012-09,11437
2012-10,10472
2012-11,7763
2012-12,2689
2013-01,3262
2013-02,6277
2013-03,7168
2013-04,9523
2013-05,7702
2013-06,1194
2013-07,3151
2013-08,6094
2013-09,5780
2013-10,8235
2013-11,6084
2013-12,4169
2014-01,6802
2014-02,6682
2014-03,7629
2014-04,6312
2014-05,5923
2014-06,1048
2014-07,1676
2014-08,2671
2014-09,8894
2014-10,1437
2014-11,3907
2014-12,451
2015-01,4723
2015-02,4384
2015-03,8478
2015-04,7064
2015-05,1721
2015-06,1628
2015-07,1479
2015-08,509
2015-09,4871
2015-10,2499
2015-11,2525
2015-12,4340
2016-01,6473
2016-02,2774
2016-03,3248
2016-04,533
2016-05,3928
2016-06,4348
2016-07,2651
2016-08,1903
2016-09,829
2016-11,844
2016-12,5438
2017-01,1840
2017-02,5682
2017-03,9370
2017-04,1653
2017-05,7536
2017-06,2405
2017-07,6331
2017-08,2903
2017-09,7069
2017-10,1206
2017-11,6207
2017-12,1147
2018-01,403
2018-02,5467
2018-04,12133
2018-05,5287
2018-08,596
2018-09,7117
2018-10,4635
2018-11,1955
2018-12,785
2019-01,8538
2019-02,6606
2019-03,4632
2019-04,8054
2019-05,7300
2019-06,8074
2019-07,4988
2019-08,4152
2019-09,16215
2019-10,18606
2019-11,1622
2019-12,8645
2020-01,6178
2020-02,9406
2020-03,2688
2020-04,4061
2020-05,1649
2020-06,1754
2020-08,2801
2020-09,1397
2020-10,7985
2020-11,9257
2021-01,5255
2021-04,1388
2021-05,846
2021-06,842
2021-07,2733
2021-08,843
2021-10,3871
2021-11,6474
2022-01,3001
2022-03,1615
2022-04,248
2022-05,1944
2022-08,1053
2022-10,1201
2022-11,2215
2023-01,553
2023-02,1534
2023-03,1389
2023-04,6087
2023-05,4228
2023-06,4801
2023-07,7169
2023-08,7220
2023-09,2889
2023-10,10444
2023-11,2325
2024-01,2638
2024-03,900
2024-04,3308
2024-05,1287
2024-06,2996
2024-07,5408
2024-08,10106
2024-09,6626
2024-10,14708
2024-11,9673
2024-12,3234
2025-01,7996
2025-02,9439
2025-03,8160
